0;ZARZĄDZANIE GMINĄ I JEJ REPREZENTACJA;
00;Organy kolegialne i jednoosobowe gminy;
000;Rada gminy;
0000;Organizacja pracy rady gminy;A;między innymi regulaminy
0001;Planowanie i sprawozdawczość z prac rady gminy;A;w tym korespondencja
0002;Sesje rady gminy;A;między innymi zawiadomienia, stenogramy, protokoły, materiały pod obrady, uchwały
0003;Wnioski i interpelacje radnych;A;w tym rejestr i odpowiedzi
0004;Przewodniczący rady gminy;A;między innymi korespondencja kierowana do i od przewodniczącego
0005;Wnioski i postulaty mieszkańców i innych podmiotów do rady gminy oraz spotkania z mieszkańcami i innymi podmiotami;A;w tym rejestr i odpowiedzi
0006;Projekty uchwał rady gminy;A;proces ich przygotowania i uzgadniania
0007;Uchwały rady gminy;A;w tym ich rejestr; przy czym sprawy ich publikowania i badania zgodności z prawem przy klasach 0711
0008;Realizacja uchwał rady gminy i jej monitorowanie;A;
001;Komisje, zespoły i inne organy kolegialne rady gminy;
0010;Powoływanie i organizacja pracy komisji, zespołów i innych organów kolegialnych rady gminy;A;
0011;Planowanie i sprawozdawczość z prac komisji, zespołów i innych organów kolegialnych rady gminy;A;
0012;Posiedzenia komisji, zespołów i innych organów kolegialnych rady gminy;A;między innymi zawiadomienia, stenogramy, protokoły, materiały pod obrady, uchwały
0013;Projekty uchwał komisji, zespołów i innych organów kolegialnych rady gminy;A;
0014;Uchwały komisji, zespołów i innych organów kolegialnych rady gminy;A;w tym ich rejestr
0015;Realizacja uchwał komisji, zespołów i innych organów kolegialnych rady gminy;A;
002;Organy uchwałodawcze jednostek pomocniczych gminy;
0020;Organizacja pracy organów uchwałodawczych jednostek pomocniczych gminy;A;
0021;Posiedzenia (zebrania) organów uchwałodawczych jednostek pomocniczych gminy;A;między innymi zawiadomienia, stenogramy, protokoły, materiały pod obrady, uchwały
003;Młodzieżowa rada gminy i inne rady utworzone przez radę gminy;
0030;Wybory do młodzieżowej rady gminy;BE5;
0031;Prace młodzieżowej rady gminy;A;
0032;Wybory do innych rad utworzonych przez radę gminy;BE5;
0033;Prace innych rad utworzonych przez radę gminy;A;
004;Obsługa radnych gminy;
0040;Wygaśnięcie mandatu radnego;A;
0041;Kluby radnych gminy;A;
0042;Sprawy osobowe radnych gminy;BE5;
0043;Oświadczenia majątkowe radnych gminy lub o członkach ich rodzin;B6;
0044;Inne oświadczenia radnych gminy lub o członkach ich rodzin;B*);*) czas przechowywania wynika z odrębnych przepisów prawa, w innym przypadku wynosi 5 lat
0045;Podnoszenie kompetencji radnych gminy;BE5;między innymi szkolenia, seminaria
005;Wójt (burmistrz, prezydent miasta) jako organ gminy;
0050;Zbiór zarządzeń, ogłoszeń i obwieszczeń wójta (burmistrza, prezydenta miasta) jako organu gminy;A;W tym ich rejestry; przy czym sprawy ich publikowania i badania zgodności z prawem przy klasach 0711
0051;Realizacja zarządzeń, ogłoszeń i obwieszczeń wójta (burmistrza, prezydent miasta) jako organu gminy;A;
0052;Upoważnianie osób (podmiotów) do działania w imieniu wójta (burmistrza, prezydenta miasta) jako organu gminy;A;pozostałe upoważnienia przy klasie 077
0053;Kolegium wójta (burmistrza, prezydenta miasta);A;między innymi zawiadomienia, stenogramy, protokoły, materiały pod obrady, uchwały; słowo "kolegium" można zastąpić odpowiednią dla danej gminy nazwą.
0054;Patronat wójta (burmistrza, prezydenta miasta);A;
0055;Narady wójta (burmistrza, prezydenta miasta) z sołtysami;A;
0056;Spotkania wójta (burmistrza, prezydenta miasta) z mieszkańcami;A;
0057;Sprawozdawczość z działalności wójta (burmistrza, prezydenta miasta);A;
0058;Wygaśnięcie mandatu wójta (burmistrza, prezydenta miasta);A;
006;Zawieszenie organów gminy (zarząd komisaryczny);A;
007;Działania interwencyjne organów administracji rządowej w ramach nadzoru nad organami gminy;A;
01;Podział terytorialny, organizacja, zarządzanie jakością, herby, flagi, emblematy, insygnia lub inne symbole;
010;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące działań w zakresie podziału terytorialnego, organizacji, ustalania herbów, flag, emblematów, insygniów lub innych symboli;A;
011;Podział terytorialny;
0110;Tworzenie, łączenie i znoszenie jednostek podziału terytorialnego oraz zmiany ich granic;A;między innymi projektowanie, wnioskowanie, opiniowanie
0111;Tworzenie, łączenie i znoszenie sołectw, dzielnic itp. oraz zmiany ich granic;A;
0112;Nadawanie statusu miasta;A;
0113;Ustalanie i zmiany nazw miejscowości i obiektów fizjograficznych;A;
012;Organizacja gminy;
0120;Statut gminy i jego zmiany, statuty jednostek pomocniczych oraz inne sprawy z zakresu ich organizacji;A;
0121;Organizacja (w tym tworzenie, likwidacja) urzędów obsługujących organy gminy;A;dotyczy między innymi statutów, regulaminów organizacyjnych, ich zmian, informacji o zmianach w organizacji i w adresach do kontaktu, szczegółowych regulacji wewnętrznych w sferze organizacyjnej, nadawania numeru NIP, REGON
0122;Organizacja jednostek organizacyjnych, stanowiących aparat pomocniczy kierowników powiatowych służb, inspekcji i straży;A;"zadanie tylko powiatu rodzaje dokumentacji i spraw jak przy klasie 0121"
0123;Tworzenie, łączenie, przekształcanie i likwidacja samorządowych jednostek organizacyjnych oraz ich organizacja;A;innych niż wymienione przy klasach 0121 i 0122
0124;Organizacja innych jednostek organizacyjnych niż jednostki zależne od gminy;BE5;dotyczy między innymi informacji czy materiałów przekazywanych  do wiadomości czy zaopiniowania gminie
013;Herby, flagi, emblematy, insygnia, odznaczenia, medale lub inne symbole gminy i jej jednostek;A;ustalanie, zmiany, korespondencja uzgodnieniowa itp.
014;Systemy zarządzania jakością;
0140;Wdrażanie systemu zarządzania jakością;A;
0141;Polityka jakości i księga jakości oraz ich zmiany;A;
0142;Procedury i instrukcje dotyczące zarządzania jakością oraz ich zmiany;A;
0143;Karty usług i karty informacyjne w systemie zarządzania jakością oraz ich zmiany;A;
0144;Audyty jakości zewnętrzne;A;
0145;Audyty jakości wewnętrzne;A;
0146;Doskonalenie systemu zarządzania jakością;BE5;
0147;Prowadzenie i koordynacja działań w systemie zarządzania jakością;B5;między innymi korespondencja porządkowa
015;Usprawnianie organizacji urzędów, wdrażanie nowoczesnych metod zarządzania;A;
02;Udział gminy w tworzeniu i działalności innych jednostek organizacyjnych oraz nadzór właścicielski gminy;
020;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące udziału gminy w tworzeniu i działalności innych jednostek oraz nadzoru właścicielskiego gminy;A;
021;Udział gminy w tworzeniu związków międzygminnych, stowarzyszeń lub porozumień oraz ich organizacja i zmiany;A;
022;Monitorowanie przez gminę działalności związków międzygminnych i stowarzyszeń oraz sposobu funkcjonowania porozumień ;A;
023;Nadzór właścicielski gminy;
0230;Tworzenie przez gminę spółek i fundacji oraz ich likwidowanie;A;
0231;Przystępowanie do spółek i fundacji;A;
0232;Realizacja nadzoru właścicielskiego;A;
03;Współdziałanie gminy z innymi jednostkami organizacyjnymi w kraju i za granicą;
030;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące współdziałania gminy z innymi jednostkami organizacyjnymi;A;
031;Zawieranie i realizacja porozumień gminy z organami administracji państwowej lub samorządowej;A;
032;Zawieranie umów w zakresie realizacji zadań gminy i monitorowanie ich wykonania;A;
033;Nawiązywanie kontaktów i określanie zakresu współdziałania gminy i jej jednostek organizacyjnych z innymi podmiotami lub jednostkami organizacyjnymi na gruncie krajowym;A;
034;Działalność gminy w sprawach zagranicznych;
0340;Programowanie, określanie strategii i planów w zakresie współdziałania z partnerami zagranicznymi;A;
0341;Nawiązywanie kontaktów i określanie zakresu współpracy gminy oraz jej jednostek organizacyjnych w sprawach zagranicznych;A;
0342;Wyjazdy zagraniczne przedstawicieli gminy;A;w tym programy, sprawozdania
0343;Przyjmowanie przedstawicieli i gości z zagranicy;A;
035;Zjazdy, konferencje, seminaria, sympozja, fora;
0350;Własne zjazdy, konferencje, seminaria, sympozja, fora;A;
0351;Udział w obcych zjazdach, konferencjach, seminariach, sympozjach, forach;BE5;
04;Programy i projekty współfinansowane ze środków zewnętrznych, w tym Unii Europejskiej;
040;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu programów i projektów finansowanych ze środków zewnętrznych;A;
041;Wnioskowanie o udział w programach i projektach finansowanych ze środków zewnętrznych;A;
042;Realizacja programów i projektów finansowanych ze środków zewnętrznych;A;w tym ich audyt i kontrola
05;Reprezentacja i promowanie gminy;
050;Wyjaśnienia, interpretacje, opinie, akty prawne w zakresie reprezentacji i promowania gminy;A;
051;Honorowe obywatelstwo gminy;A;
052;Nadawanie odznaczeń, medali lub innych tytułów przez gminę;A;
053;Kontakty ze środkami publicznego przekazu;
0530;Informacje własne dla środków publicznego przekazu, odpowiedzi na informacje medialne ;A;
0531;Konferencje prasowe i wywiady;A;
0532;Monitoring środków publicznego przekazu;A;w tym wycinki prasowe
054;Promocja gminy w kraju i za granicą;
0540;Strategie, programy i plany promocji gminy;A;
0541;Własne akcje promocyjne i reklamowe gminy;A;
0542;Udział w obcych wydarzeniach promocyjnych;A;na przykład targi, festiwale
0543;Materiały promocyjne gminy i jej jednostek;A;między innymi opracowanie projektów, ich zatwierdzanie
0544;Materiały do serwisu internetowego;A;
055;Własne wydawnictwa oraz udział w obcych wydawnictwach;A;na każde wydawnictwo książkowe, broszurowe lub kolejne numery periodyków zakłada się odrębne teki wydawnicze (akta sprawy)
056;Techniczne wykonanie materiałów promocyjnych i wydawnictw oraz ich rozpowszechnianie;B5;
057;Materiały fotograficzne lub audiowizualne z wydarzeń, akcji i imprez;A;układ według tematów i wydarzeń
06;Strategie, programy, planowanie, sprawozdawczość i analizy dotyczące działalności gminy oraz jej jednostek organizacyjnych z wyłączeniem tych wymienionych przy danym zagadnieniu;;
060;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące strategii, programów, planowania, sprawozdawczości i analiz z działalności gminy oraz jej jednostek organizacyjnych;A;
061;Strategie;A;projekty, tekst ostateczny, korespondencja, dokumentacja z uzgodnień
062;Programy;A;projekty, tekst ostateczny, korespondencja, dokumentacja z uzgodnień
063;Planowanie;
0630;Planowanie na poziomie całej gminy;A;w tym korespondencja
0631;Planowanie na poziomie każdego urzędu lub jednostki organizacyjnej;A;w tym korespondencja
0632;Planowanie w komórkach organizacyjnych;BE5;
064;Sprawozdawczość;
0640;Sprawozdawczość na poziomie całej gminy;A;jeżeli sprawozdania cząstkowe w danym roku są zgodne co do zakresu i rodzaju danych ze sprawozdaniami o większym zakresie czasowym, to można akta spraw w zakresie sprawozdawczości cząstkowej zakwalifikować do kategorii B5
0641;Sprawozdawczość na poziomie każdego urzędu i jednostki organizacyjnej;A;jeżeli sprawozdania cząstkowe w danym roku są zgodne co do zakresu i rodzaju danych ze sprawozdaniami o większym zakresie czasowym, to można akta spraw w zakresie sprawozdawczości cząstkowej zakwalifikować do kategorii B5
0642;Sprawozdawczość statystyczna;A;jeżeli sprawozdania cząstkowe w danym roku są zgodne co do zakresu i rodzaju danych ze sprawozdaniami o większym zakresie czasowym, to można akta spraw w zakresie sprawozdawczości cząstkowej zakwalifikować do kategorii B5
0643;Sprawozdawczość z działalności komórek organizacyjnych;BE5;jeżeli sprawozdania cząstkowe w danym roku są zgodne co do zakresu i rodzaju danych ze sprawozdaniami o większym zakresie czasowym, to można akta spraw w zakresie sprawozdawczości cząstkowej zakwalifikować do kategorii B5
0644;Meldunki i raporty sytuacyjne;BE5;
065;Analizy tematyczne lub przekrojowe, ankietyzacja;A;
066;Informacje o charakterze analitycznym i sprawozdawczym dla innych podmiotów i jednostek organizacyjnych;A;inne niż w klasie 065; na przykład dla Prezydenta RP, Parlamentu, Premiera RP, wojewody itp.
07;Legislacja, obsługa prawna gminy i jej jednostek organizacyjnych;
070;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące legislacji i obsługi prawnej;A;
071;Akty prawa miejscowego;
0710;Zbiór aktów prawa miejscowego;A;
0711;Przekazywanie aktów prawa miejscowego do ogłoszenia i badanie zgodności z prawem aktów prawa miejscowego;A;w tym korespondencja
072;Legislacja;
0720;Własne działania legislacyjne w zakresie aktów prawnych powszechnie obowiązujących dotyczących samorządu terytorialnego;A;
0721;Opiniowanie przez gminę i jej jednostki organizacyjne projektów aktów prawa powszechnie obowiązującego;A;
0722;Opiniowanie przez gminę i jej jednostki organizacyjne projektów aktów prawa miejscowego;A;
0723;Opiniowanie przez gminę i jej jednostki organizacyjne innych projektów aktów prawa;BE10;
0724;Opiniowanie przez gminę i jej jednostki organizacyjne projektów dokumentów nie mających charakteru aktu prawnego;BE10;
073;Rozstrzyganie sporów kompetencyjnych między organami administracji publicznej;BE10;
074;Opinie prawne na potrzeby gminy i jej jednostek organizacyjnych;BE10;
075;Prowadzenie spraw sądowych;
0750;Prowadzenie spraw sądowych przed sądami powszechnymi;BE10;w tym repertoria
0751;Prowadzenie spraw sądowych przed sądami administracyjnymi;BE10;w tym repertoria
076;Obsługa prawna w zakresie windykacji lub egzekucji należności;BE10;
077;Pełnomocnictwa, upoważnienia, wzory podpisów, podpisy elektroniczne;BE10;"w tym ich rejestry; inne upoważnienia przy klasie 0052"
1;ZARZĄDZANIE URZĘDAMI OBSŁUGUJĄCYMI ORGANY GMINY I ZWIĄZKI MIĘDZYGMINNE;
10;Udział w posiedzeniach organów kolegialnych gminy;A;
11;Gremia kolegialne urzędu i udział przedstawicieli urzędu w obcych gremiach;
110;Posiedzenia kierownictwa urzędu;A;
111;Komisje, zespoły, grupy robocze w urzędzie;A;powoływanie, dokumentacja z posiedzeń i prac, itp.
112;Udział w obcych komisjach, zespołach, grupach roboczych;BE10;
113;Narady (zebrania) pracowników;A;
12;Zbiory aktów normatywnych.;
120;Zbiory aktów normatywnych własnych kierownictw urzędów;A;"akty normatywne organów gminy przy klasach 0007, 0014, 0050 komplet podpisanych zarządzeń, pism okólnych, wytycznych itp. oraz ich rejestry. Każdy rodzaj aktów grupuje się oddzielnie na każdy rok kalendarzowy. Założenie i prowadzenie sprawy w związku z przygotowywaniem danego aktu następuje we właściwych klasach wykazu akt odpowiadających merytorycznie zakresowi danego aktu"
121;Zbiory aktów normatywnych obcych;BE10;
13;Informatyzacja;
130;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu informatyzacji;A;
131;Projektowanie, homologacje i wdrażanie oprogramowania i systemów teleinformatycznych;BE10;
132;Licencje na oprogramowanie i systemy teleinformatyczne;B10;
133;Eksploatacja systemów teleinformatycznych i oprogramowania;
1330;Organizacja prac eksploatacyjnych systemów teleinformatycznych i oprogramowania;BE5;
1331;Instrukcje eksploatacji systemów teleinformatycznych, systemów ewidencjonowania informacji, nośników i kopii bezpieczeństwa oraz archiwizowania oprogramowania i zbiorów danych;A;
1332;Ewidencja stosowanych systemów i programów;A;
1333;Użytkowanie i utrzymanie systemów oraz programów;BE5;
1334;Ustalanie uprawnień dostępu do danych i systemów;B10;
134;Projektowanie i eksploatacja gminnych stron i portali internetowych;BE10;
135;Bezpieczeństwo systemów teleinformatycznych;BE10;dotyczy spraw włamania do systemów i złego użytkowania (notatki, protokoły, korespondencja, decyzje o blokadzie dostępu do systemu)
14;Ochrona i udostępnianie informacji ustawowo chronionych oraz informacji publicznej;
140;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu ochrony i udostępniania informacji ustawowo chronionych oraz informacji publicznej;A;
141;Informacje niejawne;
1410;Organizacja systemu ochrony informacji niejawnych oraz wykazu tych informacji dla poszczególnych klauzul;A;obsługa kancelaryjna przy klasach 1620-1623, akta postępowań sprawdzających przy klasie 218
1411;Bieżące działania podejmowane w zakresie ochrony informacji niejawnych;BE10;
1412;Udostępnianie informacji niejawnych;BE10;
142;Ochrona danych osobowych;BE10;
143;Informacja publiczna;
1430;Obsługa merytoryczna Biuletynu Informacji Publicznej;A;
1431;Udostępnianie informacji publicznej;BE5;
144;Obsługa merytoryczna systemów powiadamiania mieszkańców gminy;A;
15;Skargi, wnioski, petycje oraz postulaty i inicjatywy obywateli;
150;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu skarg, wniosków, petycji oraz postulatów i inicjatyw obywateli;A;
151;Skargi i wnioski;
1510;Skargi i wnioski załatwiane bezpośrednio (w tym na jednostki podległe);A;w tym ich rejestr
1511;Skargi i wnioski przekazane do załatwienia według właściwości;BE5;
152;Petycje, postulaty i inicjatywy obywateli;A;
16;Obsługa kancelaryjna, archiwalna i biblioteczna;
160;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu obsługi kancelaryjnej, archiwalnej i bibliotecznej;A;w tym dotyczące instrukcji kancelaryjnej, wykazu akt, instrukcji archiwalnej
161;Obsługa kancelaryjna;
1610;Urządzenia do rejestracji i monitorowania obiegu przesyłek i pism;B5;
1611;Opracowywanie lub wdrażanie wzorów formularzy oraz ich wykazy;A;
1612;Ewidencja druków ścisłego zarachowania;B10;przy czym zamówienia i realizacja zamówień przy klasie 2601
1613;Ewidencja pieczęci i pieczątek oraz ich odcisków;A;przy czym zamówienia i realizacja zamówień przy klasie 2601
1614;Przekazywanie dokumentacji spraw niezakończonych między komórkami i jednostkami organizacyjnymi w związku ze zmianami organizacyjnymi;A;
162;Obsługa kancelaryjna dokumentacji zawierającej informacje niejawne;
1620;Rejestr teczek (rejestr klas końcowych);A;
1621;Dzienniki korespondencyjne dla dokumentacji o różnych klauzulach niejawności;BE50;
1622;Dziennik wykonanej dokumentacji;B10;
1623;Przekazywanie dokumentacji spraw niezakończonych zawierającej informacje niejawne między komórkami i jednostkami organizacyjnymi w związku ze zmianami organizacyjnymi;A;
163;Archiwum zakładowe;
1630;Ewidencja dokumentacji przechowywanej w archiwum zakładowym;A;przy czym sposób prowadzenia ewidencji uregulowano w instrukcji o organizacji i zakresie działania archiwum zakładowego
1631;Przekazywanie materiałów archiwalnych do archiwów państwowych;A;
1632;Brakowanie dokumentacji niearchiwalnej;A;
1633;Ewidencja udostępniania dokumentacji w archiwum zakładowym;B5;
1634;Kwerendy archiwalne w dokumentacji w archiwum zakładowym;BE5;w tym wydawanie zaświadczeń, odpisów, uwierzytelnionych kopii
1635;Skontrum dokumentacji w archiwum zakładowym;A;
1636;Profilaktyka i konserwacja dokumentacji w archiwum zakładowym;BE10;
1637;Doradzanie komórkom organizacyjnym w zakresie postępowania z dokumentacją oraz ustalanie terminów przejęcia dokumentacji;BE5;
164;Zbiory biblioteczne w podmiotach;
1640;Ewidencja zbiorów bibliotecznych;A;
1641;Gromadzenie zbiorów bibliotecznych;BE5;między innymi zakupy, prenumeraty, dary, wymiana
1642;Udostępnianie zbiorów bibliotecznych;B5;
17;Kontrola, audyt, szacowanie ryzyka dla realizacji zadań;
170;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu nadzoru, kontroli, audytu, szacowania ryzyka dla realizacji zadań;A;
171;Kontrole;
1710;Kontrole zewnętrzne w podmiotach;A;
1711;Kontrole przeprowadzane przez podmioty w jednostkach im podległych;A;
1712;Kontrole wewnętrzne w podmiocie;A;
1713;Udział podmiotów w kontrolach przeprowadzonych przez inne organy lub jednostki organizacyjne;BE10;
1714;Książka kontroli;BE5;
172;Audyt;
1720;Bieżące akta audytu;A;
1721;Stałe akta audytu;A;
173;Szacowanie ryzyka dla realizacji zadań;A;""
2;SPRAWY KADROWE I ADMINISTRACYJNE PROWADZONE PRZEZ GMINĘ I JEJ JEDNOSTKI ORGANIZACYJNE;
20;Regulacje oraz wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu spraw kadrowych i administracyjnych;
200;Regulacje oraz wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu spraw kadrowych;
2000;Własne regulacje, ich projekty oraz wyjaśnienia, interpretacje, opinie w sprawach kadrowych;A;między innymi regulaminy pracy
2001;Otrzymane od organów i jednostek zewnętrznych regulacje, wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu spraw kadrowych;BE10;
2002;Wykazy etatów;A;
2003;Opisy stanowisk pracy i określanie zakresu kompetencji i zadań;A;
2004;Umowy zbiorowe i ich negocjowanie;A;
201;Regulacje oraz wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu spraw administracyjnych;
2010;Własne regulacje, ich projekty oraz wyjaśnienia, interpretacje, opinie w sprawach administracyjnych;A;
2011;Otrzymane od organów i jednostek zewnętrznych regulacje, wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu spraw administracyjnych;BE10;
21;Nawiązywanie, przebieg i rozwiązywanie stosunku pracy oraz innych form zatrudnienia w imieniu organów gminy i kierowników podmiotów;
210;Zapotrzebowanie i nabór kandydatów do pracy;B5;przy czym okres przechowywania ofert kandydatów nieprzyjętych i tryb ich niszczenia wynika z odrębnych przepisów
211;Konkursy na stanowiska;
2110;Konkursy na stanowiska w urzędach;B5;akta pracowników przyjętych odkłada się do akt osobowych; przy czym dokumentację posiedzeń komisji klasyfikuje się przy klasie 111
2111;Konkursy na stanowiska w jednostkach podległych;B5;akta pracowników przyjętych odkłada się do akt osobowych; przy czym dokumentację posiedzeń komisji klasyfikuje się przy klasie 111
212;Obsługa zatrudnienia;
2120;Obsługa zatrudnienia kierownictw urzędów oraz kierownictw jednostek podległych;BE5;w tym zakończenia stosunku pracy; akta dotyczące konkretnych pracowników odkłada się do akt osobowych danego pracownika
2121;Obsługa zatrudnienia pracowników urzędów;B5;w tym zakończenia stosunku pracy; akta dotyczące konkretnych pracowników odkłada się do akt osobowych danego pracownika
2122;Rozmieszczanie i wynagradzanie pracowników urzędów;B5;między innymi delegowanie, przeniesienia, zastępstwa, awanse, podwyżki, przydział; akta dotyczące konkretnych pracowników odkłada się do akt osobowych danego pracownika
2123;Rozmieszczanie i wynagradzanie kierownictw jednostek podległych;B5;między innymi delegowanie, przeniesienia, zastępstwa, awanse, podwyżki, przydział; akta dotyczące konkretnych pracowników odkłada się do akt osobowych danego pracownika
2124;Oświadczenia majątkowe lub inne oświadczenia o osobach zatrudnionych i członkach ich rodzin;B*);*) czas przechowywania wynika z odrębnych przepisów prawa, w innym przypadku wynosi 5 lat
213;Opiniowanie i ocenianie osób zatrudnionych;
2130;Opiniowanie i ocenianie pracowników urzędów;BE5;przy czym akta dotyczące konkretnych pracowników można odłożyć do akt osobowych danego pracownika
